Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:     -1, rd_minus:   3230, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1292, rd_minus:   1362, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 2 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1432, rd_minus:   1448, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 3 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1348, rd_minus:   1384, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 4 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3440, rd_minus:   3334, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 5 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6860, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 6 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11404, rd_minus:  11456, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 7 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12856, rd_minus:  12220, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 8 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13648, rd_minus:  13884, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 9 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6036, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 10 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6518, rd_minus:   6386, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 11 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16694, rd_minus:  16990, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 12 / 83886104, payload_bits 83886080, end_bits 24
